Species,Site_1,Site_2,Site_3,Site_4,Site_5,Site_6,Site_7,Site_8,Site_9,,Species,Plantation,Open Heathland,Ancient Caledonian,,,,P1,P2,P3,,O1,O2,O3,,C1,C2,C3,,,Plantation,Open,Cale
Corvus corax_Common Raven,0,0,0,0,0,0,0,0,0,,Corvus corax_Common Raven,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Corvus cornix_Hooded Crow,0,0,0,0,0,0,0,0,0,,Corvus cornix_Hooded Crow,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Corvus corone_Carrion Crow,0,0,1,0,1,0,0,0,0,,Corvus corone_Carrion Crow,,,,,,,0,1,0,,0,1,0,,0,0,0,,,1,1,0
Corvus frugilegus_Rook,0,0,0,0,0,0,0,1,0,,Corvus frugilegus_Rook,,,,,,,0,0,0,,0,0,0,,0,1,0,,,0,0,1
Corvus monedula_Eurasian Jackdaw,0,0,0,0,0,0,0,0,0,,Corvus monedula_Eurasian Jackdaw,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Coturnix coturnix_Common Quail,0,0,0,0,0,0,0,0,0,,Coturnix coturnix_Common Quail,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Crex crex_Corn Crake,0,0,0,0,0,0,0,0,0,,Crex crex_Corn Crake,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Cuculus canorus_Common Cuckoo,0,0,0,0,0,0,0,0,0,,Cuculus canorus_Common Cuckoo,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Curruca communis_Greater Whitethroat,0,0,0,0,0,0,0,0,0,,Curruca communis_Greater Whitethroat,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Curruca curruca_Lesser Whitethroat,0,0,0,0,0,0,0,0,0,,Curruca curruca_Lesser Whitethroat,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Cyanistes caeruleus_Eurasian Blue Tit,1,1,1,0,1,0,0,1,1,,Cyanistes caeruleus_Eurasian Blue Tit,,,,,,,1,1,0,,1,1,0,,0,1,1,,,1,1,1
Cygnus cygnus_Whooper Swan,0,0,0,0,0,0,0,0,0,,Cygnus cygnus_Whooper Swan,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Cygnus olor_Mute Swan,0,0,0,0,0,0,0,0,0,,Cygnus olor_Mute Swan,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Delichon urbicum_Common House-Martin,0,0,0,0,0,0,0,0,0,,Delichon urbicum_Common House-Martin,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Dendrocopos major_Great Spotted Woodpecker,0,0,0,0,0,0,0,0,0,,Dendrocopos major_Great Spotted Woodpecker,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Egretta garzetta_Little Egret,0,0,0,0,0,0,0,0,0,,Egretta garzetta_Little Egret,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
